[protein],[ligand],[-log k],[resolution],[year],[origin],[covalent_bond]
1p01,0EG,9.455931955649724,2.00,1990,PDB,True
6gch,APF,4.698970004336019,2.10,1990,PDB,True
7gch,LPF,5.698970004336019,1.80,1990,PDB,True
5est,0P2,6.522878745280337,2.09,1992,PDB,True
1mns,APG,4.173925197299173,2.00,1993,PDB,True
1sre,HAB,3.853871964321762,1.78,1994,PDB,True
1inc,ICL,9.337242168318426,1.94,1994,PDB,True
1tyn,CTA,9.698970004336019,2.00,1995,PDB,True
1eat,TFI,7.823908740944319,2.00,1995,PDB,True
1eas,TFK,7.7447274948966935,1.80,1995,PDB,True
1lhc,DP7,10.397940008672037,1.95,1996,PDB,True
1lhd,DI2,9.619788758288394,2.35,1996,PDB,True
1lhe,DI3,9.537602002101044,2.25,1996,PDB,True
1aht,APA,6.2076083105017466,1.60,1996,PDB,True
1amn,NAF,13.823908740944319,2.80,1996,PDB,True
1lhg,DI5,7.102372908709558,2.25,1996,PDB,True
1lhf,DI4,8.09151498112135,2.40,1996,PDB,True
4vgc,SRD,6.896196279044043,2.10,1997,PDB,True
1ad8,MDL,6.6020599913279625,2.00,1997,PDB,True
1vgc,V36,5.920818753952375,1.90,1997,PDB,True
3vgc,SRB,5.507239610973163,1.67,1997,PDB,True
2vgc,V35,5.239577516576788,1.80,1997,PDB,True
1bmq,MNO,7.42021640338319,2.50,1998,PDB,True
1a5g,00L,10.148741651280925,2.06,1998,PDB,True
1tbz,00Q,9.795880017344075,2.30,1998,PDB,True
1ayu,INA,9.154901959985743,2.20,1998,PDB,True
1awh,GR3,6.080921907623926,3.00,1998,PDB,True
1awf,GR4,6.013228265733755,2.20,1998,PDB,True
1ayv,IN6,8.0,2.30,1998,PDB,True
1b5g,0ZE,8.0,2.07,1998,PDB,True
1mem,0D6,7.939302159646388,1.80,1998,PDB,True
1au2,POS,7.886056647693163,2.60,1998,PDB,True
1a61,00N,8.619788758288394,2.20,1998,PDB,True
1a46,00K,5.698970004336019,2.12,1998,PDB,True
1b0f,SEI,7.698970004336019,3.00,1998,PDB,True
1au0,SDK,7.657577319177793,2.60,1998,PDB,True
3pch,CHB,5.3979400086720375,2.05,1998,PDB,True
1auj,PPB,8.2518119729938,2.10,1998,PDB,True
3bls,APB,5.136677139879544,2.30,1998,PDB,True
1qfs,ZPR,9.481486060122112,2.00,1999,PDB,True
1bio,SOA,5.537602002101044,1.50,1999,PDB,True
1doj,1Z0,8.958607314841775,1.70,2000,PDB,True
1e34,TPX,2.87942606879415,1.80,2000,PDB,True
1exw,HDS,3.9030899869919438,2.40,2000,PDB,True
1erq,BJH,7.886056647693163,1.90,2000,PDB,True
1gfw,MSI,7.823908740944319,2.80,2000,PDB,True
1h8y,MER,7.698970004336019,2.00,2001,PDB,True
1g37,110,10.0,2.00,2001,PDB,True
1ft4,703,6.568636235841013,2.90,2001,PDB,True
1k2i,SN1,3.1079053973095196,1.80,2001,PDB,True
1hbj,FBQ,8.522878745280337,2.50,2001,PDB,True
1i8j,DSB,4.4089353929735005,1.90,2001,PDB,True
1i72,MAO,7.259637310505756,2.00,2001,PDB,True
1fsy,105,6.823908740944319,1.75,2001,PDB,True
1fsw,CTB,6.494850021680094,1.90,2001,PDB,True
1iem,CB4,7.698970004336019,2.30,2001,PDB,True
1iew,G2F,4.5934598195660445,2.55,2001,PDB,True
1ga9,ETP,7.080921907623926,2.10,2001,PDB,True
1l6y,4OX,3.657577319177794,1.90,2002,PDB,True
1gzg,LAF,3.0457574905606752,1.66,2002,PDB,True
1l6s,DSB,4.4089353929735005,1.70,2002,PDB,True
1mwt,PNM,1.8761483590329142,2.45,2002,PDB,True
1h1b,151,9.795880017344075,2.00,2002,PDB,True
1ke3,BDB,6.698970004336019,2.15,2002,PDB,True
1kds,NPB,5.769551078621726,2.15,2002,PDB,True
