[protein],[ligand],[-log k],[resolution],[year],[origin],[covalent_bond],complex_id,smiles
3lbl,MI6,7.443697499232712,1.6,2010,PDB,False,3lbl_MI6,CC(C)(C)C[C@@H]1[C@]2(c3ccc(cc3NC2=O)Cl)[C@@H]([C@@H](N1)C(=O)NCCN4CCOCC4)c5cccc(c5F)Cl
2hxq,373,6.841637507904751,2.0,2007,PDB,False,2hxq_373,c1ccc2c(c1)C=C(C(=O)N2)c3cc4cc(ccc4[nH]3)CN5CCC(CC5)CN
5ewy,5TQ,4.301029995663981,1.4,2016,PDB,False,5ewy_5TQ,c1cc2c(cc1F)C(=O)NC3=C2CN(CC3)CCCC(=O)O
4do4,DJN,7.292429823902063,1.4,2012,PDB,False,4do4_DJN,CC(=O)N[C@H]1CN[C@@H]([C@@H]([C@@H]1O)O)CO
5av0,47X,3.552841968657781,1.85,2015,PDB,False,5av0_47X,c1cc(c(cc1C2=COc3cc(ccc3C2=O)O)O)O
2gz8,F3F,5.522878745280337,1.97,2006,PDB,False,2gz8_F3F,c1ccc(cc1)C#Cc2ccc(o2)C(=O)Sc3[nH]c(nn3)C(F)(F)F
4gue,QCT,5.236572006437063,1.8,2013,PDB,False,4gue_QCT,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(Oc3cc(cc(c3C2=O)O)O)c4ccc(c(c4)O)O)O)O)O
6fmc,DUE,5.87942606879415,0.9,2018,PDB,False,6fmc_DUE,[H]/N=C(/N)\NCCC[C@@H](C(=O)O)NC(=O)c1c(ccs1)NS(=O)(=O)c2cc(cc3c2occ3)c4ccc(cc4)CN
1k21,IGN,8.3767507096021,1.86,2002,PDB,False,1k21_IGN,C1CCC(CC1)C[C@H](C(=O)N2CCCC[C@H]2C(=O)NCCCNC(=N)N)NCC(=O)O
3m35,M35,7.221848749616356,2.2,2010,PDB,False,3m35_M35,CS(=O)(=O)c1ccccc1c2ccc(c(c2)F)NC(=O)c3cc(nn3c4cccc(c4)CN)C(F)(F)F
1uwh,BAX,7.657577319177793,2.95,2004,PDB,False,1uwh_BAX,CNC(=O)c1cc(ccn1)Oc2ccc(cc2)NC(=O)Nc3ccc(c(c3)C(F)(F)F)Cl
1tvo,FRZ,6.853871964321762,2.5,2005,PDB,False,1tvo_FRZ,c1ccc(cc1)c2c(c3ccccn3n2)c4cc5c(n[nH]c5nn4)N
3ga5,RGG,5.494850021680094,1.87,2009,PDB,False,3ga5_RGG,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H](CO)O)O)O)O)O
5bvn,4VD,8.823908740944319,2.21,2015,PDB,False,5bvn_4VD,Cc1ccc(cc1NC(=O)c2cnc3n2cccc3)CNC(=O)Nc4cccc(c4)F
6qmd,J6N,3.769551078621726,1.94,2019,PDB,False,6qmd_J6N,Cn1c2ccc(cc2nn1)[C@H](CC(=O)O)c3ccc(cc3)Cl
4fxq,G9L,5.769551078621726,1.96,2012,PDB,False,4fxq_G9L,c1cc2c(cc1F)C(=O)NC3=C2CN(CC3)C(=O)CCN4CCCCC4
4lbp,1WG,4.943095148663527,1.87,2013,PDB,False,4lbp_1WG,C1=C(C(=O)C=C(C1=O)O)O
2gfs,PQB,6.154901959985743,1.75,2006,PDB,False,2gfs_PQB,c1cc(cc(c1)OC[C@H](CO)O)C(=O)c2cnn(c2N)c3ccc(cc3)F
4alx,IZN,7.2839966563652,2.3,2012,PDB,False,4alx_IZN,CO[C@H]1CC=C2CCN3[C@]2(C1)C4=C(CC3)COC(=O)C4
1pq6,965,8.100179497572904,2.4,2003,PDB,False,1pq6_965,c1ccc(cc1)C(C[N@](CCCOc2cccc(c2)CC(=O)O)Cc3cccc(c3Cl)C(F)(F)F)c4ccccc4
6joe,BWR,7.040958607678906,2.21,2019,PDB,False,6joe_BWR,c1cc(ccc1CNC(=O)c2csc3c2C(=O)NC=N3)CN4CCC(CC4)N
5tza,7OG,9.0,1.7,2017,PDB,False,5tza_7OG,Cc1cc(n2c(n1)ncn2)[C@H]3CCCN(C3)C(=O)c4ccc5ccccc5c4
5ngf,8WN,5.107905397309519,2.33,2017,PDB,True,5ngf_8WN,CCS(=O)(=O)Nc1ccccc1c2ccc(cc2)C(=O)N3CCC(CC3)(CN4C=Nc5c(cnn5C)C4=O)O
5ur1,YY9,8.97469413473523,2.2,2017,PDB,False,5ur1_YY9,CN(C)C/C=C/C(=O)N1CCC(CC1)N2c3c(cnc(n3)Nc4ccccc4)CN(C2=O)c5c(c(cc(c5Cl)OC)OC)Cl
3q1x,SER,5.327902142064283,1.59,2011,PDB,False,3q1x_SER,C([C@@H](C(=O)O)N)O
6dim,GJP,2.1426675035687315,1.81,2019,PDB,False,6dim_GJP,c1ccc2c(c1)c(c(cn2)C(=O)O)O
2j7d,GI1,7.130768280269024,2.24,2006,PDB,False,2j7d_GI1,CO[C@@H](c1c[n+]2c([nH]1)[C@@H]([C@H]([C@@H]([C@H]2CO)O)O)O)O
4z3v,4L6,8.397940008672037,1.6,2015,PDB,False,4z3v_4L6,Cc1cc2cn[nH]c2cc1c3cccc4c3nnc(c4N)C(=O)N
6fr0,E3H,6.835647144215563,1.5,2018,PDB,False,6fr0_E3H,CCN1C(=O)C(=C(O1)C)c2cc(cc(c2)NC(=O)c3ccco3)c4cc(ccc4OCC)C(=O)C
4ly1,20Y,7.2580609222708015,1.57,2013,PDB,False,4ly1_20Y,CC(=O)Nc1ccc(cc1)C(=O)Nc2cc(ccc2N)c3cccs3
4bt4,QFH,3.337242168318426,1.6,2013,PDB,False,4bt4_QFH,C[C@@H]([C@@](C)(C(=O)O)O)O
2d1o,FA4,7.698970004336019,2.02,2006,PDB,False,2d1o_FA4,[H]/N=C(/N)\NCc1ccccc1CCCCCCCCCC(=O)N[C@H](CCCCN)C(=O)NO
3hs4,AZM,8.0,1.1,2009,PDB,False,3hs4_AZM,CC(=O)Nc1nnc(s1)S(=O)(=O)N
1zdp,TIO,5.7447274948966935,1.7,2005,PDB,False,1zdp_TIO,c1ccc(cc1)C[C@H](CS)C(=O)NCC(=O)O
3ihz,FK5,6.795880017344075,1.67,2010,PDB,False,3ihz_FK5,C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](\C=C(\C1)/C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC
2xhr,C0P,8.318758762624412,2.2,2010,PDB,False,2xhr_C0P,c1c(c(cc(c1OCCN2CCOCC2)Cl)Cl)c3cc(nc(n3)N)Cl
4eh6,0ON,2.459545386328588,2.1,2012,PDB,False,4eh6_0ON,c1ccc(cc1)NC(=O)c2cccnc2
5a46,38O,7.657577319177793,2.63,2015,PDB,False,5a46_38O,CN1CCN(CC1)c2ccc3c(c2)nc([nH]3)C4=C(c5c(cccc5F)NC4=O)N
3gwx,EPA,5.3979400086720375,2.4,2000,PDB,False,3gwx_EPA,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)O
1lgt,BP3,6.096910013008056,1.7,2002,PDB,False,1lgt_BP3,c1ccc(c(c1)c2cccc(c2O)O)Cl
3qtx,X43,7.154901959985743,1.95,2012,PDB,False,3qtx_X43,c1cc(cc(c1)[N+](=O)[O-])C(=O)c2c(nc(s2)Nc3ccc(cc3)S(=O)(=O)N)N
1o2n,762,6.091514981121351,1.5,2003,PDB,False,1o2n_762,c1ccc(cc1)c2cccc(c2[O-])c3[nH]c4cc(c(cc4n3)C(=[NH2+])N)Cl
1pw6,FRB,5.221848749616356,2.6,2004,PDB,False,1pw6_FRB,c1cc(c(c(c1)Cl)Cl)c2cc([nH]n2)C3CCN(CC3)C(=O)CNC(=O)[C@@H](C4CCCCC4)NC(=N)N
4eg4,0OT,7.886056647693163,3.15,2012,PDB,False,4eg4_0OT,CCOc1c(cc(cc1Br)Br)CNCCCNC2=CC(=O)c3ccccc3N2
4yc8,4B7,7.853871964321762,2.9,2016,PDB,False,4yc8_4B7,Cc1nc(cc(n1)N2CCN(CC2)CCO)Nc3ncc(s3)C(=O)Nc4ccc(cc4)Oc5ccccc5
5iub,6DV,9.455931955649724,2.1,2016,PDB,False,5iub_6DV,c1cc(oc1)c2nc3nc(nc(n3n2)N)NCCN4CCN(CC4)c5ccc(cc5F)F
6m8q,JBG,6.431798275933005,2.49,2019,PDB,False,6m8q_JBG,CN1CCN(CC1)CCOc2c(cc(c(c2Cl)O)C(=O)N[C@@H](Cc3ccccc3)C(=O)O)Cl
5t8q,76Y,4.161150909262744,2.63,2017,PDB,False,5t8q_76Y,c1ccc(c(c1)Cn2cccc2C(=O)N)Cl
3jsw,JAR,7.180456064458132,2.3,2009,PDB,False,3jsw_JAR,C[C@@H]1C[N@@](C[C@H]1C2=Nc3c(cnn3C(C)C)C(=O)N2)Cc4ccccc4
4ith,RCM,6.4990777608097,2.25,2013,PDB,False,4ith_RCM,CN1C(=O)[C@H](NC1=O)Cc2c[nH]c3c2cccc3Cl
